timeOpen,open,high,low,close,volume,marketCap,Crypt
"Sunday, February 1, 2026",105.44,106.20,98.53,100.85,5440089988.21,57121713439.84,SOL
"Saturday, January 31, 2026",117.36,118.61,99.98,105.44,9542017059.90,59711829127.35,SOL
"Friday, January 30, 2026",117.60,118.87,112.97,117.36,6818716388.92,66464803789.03,SOL
"Thursday, January 29, 2026",125.12,125.19,115.42,117.61,6044075471.26,66585789761.37,SOL
"Wednesday, January 28, 2026",127.05,127.97,124.89,125.12,3544660043.80,70841460047.23,SOL
"Tuesday, January 27, 2026",124.14,127.62,123.05,127.05,3683537052.15,71920945590.02,SOL
"Monday, January 26, 2026",118.77,125.06,118.66,124.14,4273720547.26,70271428110.07,SOL
"Sunday, January 25, 2026",127.05,127.23,117.58,118.77,5349293195.31,67219173821.14,SOL
"Saturday, January 24, 2026",127.36,127.90,126.56,127.05,1620566908.37,71905291161.98,SOL
"Friday, January 23, 2026",128.29,129.73,125.38,127.36,3766000022.22,72065413578.90,SOL
"Thursday, January 22, 2026",129.38,130.49,126.85,128.29,3212054901.17,72589216499.72,SOL
"Wednesday, January 21, 2026",125.71,131.84,125.59,129.38,5435243612.09,73190379307.59,SOL
"Tuesday, January 20, 2026",133.34,134.39,125.67,125.71,5647782627.37,71112568926.46,SOL
"Monday, January 19, 2026",138.00,138.00,132.82,133.34,5018545519.87,75414210803.19,SOL
"Sunday, January 18, 2026",143.73,143.82,137.96,138.00,2984193864.30,78049165725.01,SOL
"Saturday, January 17, 2026",144.86,144.87,143.57,143.73,1900249993.18,81271616115.32,SOL
"Friday, January 16, 2026",142.33,145.38,140.44,144.86,3652609587.23,81892614751.78,SOL
"Thursday, January 15, 2026",146.76,146.76,141.04,142.33,4616638822.08,80464029006.54,SOL
"Wednesday, January 14, 2026",145.36,148.22,143.52,146.75,6358680886.17,82946369409.03,SOL
"Tuesday, January 13, 2026",139.14,147.31,137.81,145.36,6784244711.49,82158584621.76,SOL
"Monday, January 12, 2026",139.49,143.91,138.42,139.14,6095296933.04,78622525568.95,SOL
"Sunday, January 11, 2026",135.73,141.04,135.64,139.49,3148787072.52,78753724944.83,SOL
"Saturday, January 10, 2026",135.76,136.82,135.29,135.73,1631651535.04,76585915937.18,SOL
"Friday, January 9, 2026",138.30,140.90,135.05,135.76,5002612595.20,76602577946.53,SOL
"Thursday, January 8, 2026",136.31,139.83,132.82,138.29,4776764583.78,78018405159.08,SOL
"Wednesday, January 7, 2026",141.10,141.10,134.69,136.31,3910044770.22,76899204177.74,SOL
"Tuesday, January 6, 2026",137.99,143.04,136.37,141.10,5874437270.53,79493461041.39,SOL
"Monday, January 5, 2026",133.90,139.64,133.35,137.99,5200675282.05,77743474207.05,SOL
"Sunday, January 4, 2026",133.30,135.35,133.23,133.90,2982580991.08,75424319902.39,SOL
"Saturday, January 3, 2026",132.13,133.61,129.94,133.30,2477037555.05,75083949892.98,SOL
"Friday, January 2, 2026",126.76,132.99,125.79,132.13,4508641946.03,74411599694.69,SOL
"Thursday, January 1, 2026",124.48,126.99,124.05,126.76,2461653812.91,71386260792.22,SOL
"Wednesday, December 31, 2025",124.93,127.12,123.46,124.48,3627228070.39,70072627293.21,SOL
"Tuesday, December 30, 2025",123.12,126.19,122.54,124.93,3096711898.46,70324097838.44,SOL
"Monday, December 29, 2025",125.20,129.30,122.43,123.13,4871847247.70,69291982727.79,SOL
"Sunday, December 28, 2025",124.65,125.22,123.07,125.20,2003713686.66,70459412494.80,SOL
"Saturday, December 27, 2025",122.20,124.75,121.86,124.65,1711358748.25,70134325071.75,SOL
"Friday, December 26, 2025",119.95,124.93,119.57,122.20,3779508001.89,68754600622.17,SOL
"Thursday, December 25, 2025",122.46,124.19,119.90,119.95,2194207450.90,67474543272.78,SOL
"Wednesday, December 24, 2025",123.86,124.11,120.78,122.46,2313559221.09,68887515567.94,SOL
"Tuesday, December 23, 2025",125.80,126.73,122.33,123.86,3084149409.40,69658980493.68,SOL
"Monday, December 22, 2025",125.99,128.39,124.41,125.80,3657779407.49,70752613985.82,SOL
"Sunday, December 21, 2025",125.81,126.46,123.60,125.99,2335972345.74,70844310134.11,SOL
"Saturday, December 20, 2025",126.19,126.76,125.39,125.81,1703857955.07,70742441653.61,SOL
"Friday, December 19, 2025",119.57,127.51,117.80,126.19,5045203466.66,70942484715.25,SOL
